Filename,Size(number of gates),,,,Cycle,,,,SQGs,,,,MQGs,,,,Total Time
,before,after,reduce,,before,after,reduce,,before,after,reduce,,before,after,reduce,,
./data/origin/example1.qasm,11,5,6(54.55%),,17,5,12(70.59%),,"5(h,x)","5(h,x)",0(-),,6(cx),0(),6(100.00%),,1.4842181205749512
./data/origin/example2.qasm,11,3,8(72.73%),,15,3,12(80.00%),,"7(h,x)","3(h,x)",4(57.14%),,4(cx),0(),4(100.00%),,1.0984594821929932
./data/origin/example3.qasm,10,4,6(60.00%),,14,6,8(57.14%),,"6(h,x)",2(h),4(66.67%),,4(cx),2(cx),2(50.00%),,2.2611944675445557
./data/origin/example4.qasm,12,10,2(16.67%),,19,15,4(21.05%),,"5(h,x)","5(h,x)",0(-),,7(cx),5(cx),2(28.57%),,3.7160165309906006
./data/origin/example5.qasm,18,9,9(50.00%),,27,13,14(51.85%),,"9(h,x)","5(h,x)",4(44.44%),,9(cx),4(cx),5(55.56%),,3.7964987754821777
